koatuu;latitude;longitude
0121680102;45.0958333;35.1291667
0121680103;45.0722222;35.1111111
0121680104;45.1166667;35.1416667
0121680800;45.1638900;35.3777800
0121680801;45.1638889;35.3777778
0121681800;45.1319400;35.2166700
0121681801;45.1313889;35.2163889
0121681802;45.0930556;35.2444444
0121681803;45.1130556;35.2102778
0121681804;45.1625000;35.2430556
0121681805;45.1111111;35.1991667
0121682200;45.1236100;34.9902800
0121682201;45.1236111;34.9902778
0121682202;45.1730556;35.0313889
0121682600;45.0972200;34.9569400
0121682601;45.0966667;34.9575000
0121682602;45.1736111;35.0319444
0121682603;45.0638889;34.9305556
0121682604;45.1194444;34.8916667
0121682800;45.1458300;35.1527800
0121682801;45.1458333;35.1527778
0121682802;45.1377778;35.1072222
0121683000;45.0611111;35.1613889
0121683001;45.0611111;35.1611111
0121683002;45.0347222;35.2166667
0121683003;45.0955556;35.1872222
0121683004;45.1097222;35.2036111
0121683005;45.0402778;35.1277778
0121683006;45.0500000;35.2088889
0121683007;45.0916667;35.1972222
0121683400;45.1138900;35.0583300
0121683401;45.1138889;35.0583333
0121683402;45.1083333;35.0797222
0121683900;45.2388900;35.2500000
0121683901;45.2380556;35.2508333
0121683902;45.2027778;35.3125000
0121683903;45.2475000;35.3019444
0121684600;45.2819400;35.1513900
0121684601;45.2819444;35.1513889
0121684605;45.2750000;35.2097222
0121686100;45.2069400;35.2013900
0121686101;45.2063889;35.2011111
0121686103;45.1833333;35.1891667
0121686105;45.2930556;35.0611111
0121686107;45.2611111;35.0986111
0121686109;45.2750000;35.1255556
0121686111;45.2183333;35.1513889
0122000000;45.4947000;34.2947000
0122055100;45.4977800;34.2950000
0122055400;45.2891667;34.1255556
0122080300;45.5763900;34.1000000
0122080301;45.5763889;34.1000000
0122080302;45.6069444;34.0833333
0122080303;45.5486111;34.1416667
0122080600;45.2763900;34.1291700
0122080601;45.2763889;34.1297222
0122080602;45.2638889;34.1847222
0122080603;45.2388889;34.1522222
0122080604;45.3125000;34.1208333
0122080605;45.2925000;34.1105556
0122080606;45.3138889;34.1638889
0122080800;45.2694400;34.0472200
0122080801;45.5072222;34.3827778
0122080802;45.4605556;34.4308333
0122080803;45.4805556;34.3855556
0122080804;45.5041667;34.5241667
0122080805;45.5402778;34.3430556
0122080806;45.4958333;34.4769444
0122080807;45.5272222;34.5016667
0122080808;45.4805556;34.4277778
0122080809;45.5341667;34.3855556
0122080810;45.5325000;34.4250000
0122081000;45.3250000;34.4819400
0122081001;45.3250000;34.4819444
0122081002;45.3638889;34.5355556
0122081400;45.5930600;34.2208300
0122081401;45.5925000;34.2211111
0122081402;45.6183333;34.2383333
0122081403;45.5455556;34.2150000
0122081404;45.6136111;34.2016667
0122081800;45.5208300;34.1708300
0122081801;45.5236111;34.1875000
0122081802;45.5222222;34.0805556
0122081803;45.5122222;34.1166667
0122082200;45.2291700;34.3333300
0122082201;45.2286111;34.3338889
0122082203;45.2911111;34.3708333
0122082205;45.2466667;34.3922222
0122082400;45.3638900;34.0277800
0122082401;45.3633333;34.0283333
0122082402;45.3888889;34.1186111
0122082403;45.3875000;34.1391667
0122082600;45.2861100;33.9958300
0122082601;45.2866667;33.9955556
0122082602;45.2969444;34.0191667
0122082603;45.3238889;33.9708333
0122082604;45.2980556;33.8988889
0122082605;45.2908333;33.9733333
0122082606;45.3116667;33.9125000
0122082900;45.2694400;34.0472200
0122082901;45.2700000;34.0466667
0122082902;45.2827778;34.0705556
0122082904;45.3152778;34.0236111
0122083600;45.4500000;34.2930600
0122083601;45.4500000;34.2936111
0122083602;45.4416667;34.3416667
0122083603;45.4816667;34.3500000
0122084000;45.2722200;34.4472200
0122084001;45.2727778;34.4477778
0122084002;45.2800000;34.5386111
0122084003;45.2491667;34.4797222
